CompanyId,FactoryId,AreaId,ProductName,ProductCode,ProductModel,JobId,JobTableName,StepNo,StepType,Result,NgStepCount,StartTime,EndTime,WorkTime,StandardTime,UserCode,UserName,Information,ProductVersion,BomSetName,BomSetCode,BomSetVersion,CustomInformation,ScrewSpecData,CommentData,TorqueData,RotationTimeData,RotationAngleData,TraceData,PartsData
A,A,ASK-PC-0002,1,555,555,1-20190620142944-0001,青岛四方智能作业台,1,2,2,0,2019-06-20 14:29:44.000,2019-06-20 14:29:58.000,14,10,Admin,Administrator,,,,,,,,,,,,1:SE:::扫码工单号记录信息,
A,A,ASK-PC-0002,四方监控屏,444,444,13-20190611184616-0001,青岛四方智能作业台,1,3,3,0,2019-06-11 18:46:16.000,2019-06-11 18:46:16.000,0,1,Admin,Administrator,,636,青岛四方监控屏,211210000439300,V19,,,,,,,,
A,A,ASK-PC-0002,四方监控屏,444,444,13-20190611184616-0001,青岛四方智能作业台,1,3,3,0,2019-06-11 18:59:59.000,2019-06-11 18:59:59.000,0,1,Admin,Administrator,,636,青岛四方监控屏,211210000439300,V19,,,1:1:1:无评论,,,,,
A,A,ASK-PC-0002,四方监控屏,444,444,13-20190611184616-0001,青岛四方智能作业台,1,3,3,0,2019-06-11 19:12:12.000,2019-06-11 19:12:12.000,0,1,Admin,Administrator,,636,青岛四方监控屏,211210000439300,V19,,,1:1:1:无评论,,,,,
A,A,ASK-PC-0002,四方监控屏,444,444,13-20190611184616-0001,青岛四方智能作业台,5,0,0,1,2019-06-11 18:46:29.000,2019-06-11 18:52:29.000,360,1,Admin,Administrator,,636,青岛四方监控屏,211210000439300,V19,,,,,,,,
A,A,ASK-PC-0002,四方监控屏,444,444,13-20190611184616-0001,青岛四方智能作业台,5,0,0,1,2019-06-11 18:46:29.000,2019-06-11 18:59:45.000,361,1,Admin,Administrator,,636,青岛四方监控屏,211210000439300,V19,,,,,,,,
A,A,ASK-PC-0002,四方监控屏,444,444,13-20190611184616-0001,青岛四方智能作业台,5,0,0,1,2019-06-11 19:00:06.000,2019-06-11 19:03:25.000,199,1,Admin,Administrator,,636,青岛四方监控屏,211210000439300,V19,,,,,,,,
A,A,ASK-PC-0002,四方监控屏,444,444,13-20190611184616-0001,青岛四方智能作业台,5,0,0,1,2019-06-11 19:00:06.000,2019-06-11 19:05:19.000,202,1,Admin,Administrator,,636,青岛四方监控屏,211210000439300,V19,,,5:6:1:无评论,,,,,
A,A,ASK-PC-0002,四方监控屏,444,444,13-20190611184616-0001,青岛四方智能作业台,5,0,0,1,2019-06-11 19:50:41.000,2019-06-11 20:03:18.000,72,1,Admin,Administrator,,636,青岛四方监控屏,211210000439300,V19,,,5:6:1:无评论,,,,,
A,A,ASK-PC-0002,四方监控屏,444,444,13-20190611184616-0001,青岛四方智能作业台,5,0,0,2,2019-06-11 19:50:41.000,2019-06-11 20:04:52.000,75,1,Admin,Administrator,,63,青岛四方监控屏,211210000439300,V19,,,5:6:1:无评论,,,,,
